DemoSkills Auth Role Matrix
Purpose: human-readable source-of-truth draft for roles, permissions, and role-to-permission mappings.
Note: keep this easy to read/edit first; convert to SQL seed data later.

ROLES
role_code               | role_name                | description
------------------------+--------------------------+-----------------------------------------------
super_admin             | Super Admin              | Full cross-company admin
customer_service_create | Customer Service Create  | Global create support role
customer_service        | Customer Service         | Assigned-company support role
payroll_admin           | Payroll Admin            | Payroll management role
employee_self_service   | Employee Self Service    | Employee self-service role


PERMISSIONS
permission_code         | permission_name          | system_code   | resource_code | C | R | U | D | is_active | description
------------------------+--------------------------+---------------+---------------+---+---+---+---+-----------+------------------------------------------
company-create          | Company Create           | company_api   | company       | 1 | 0 | 0 | 0 | 1         | Create company data
company-read            | Company Read             | company_api   | company       | 0 | 1 | 0 | 0 | 1         | Read company data
company-update          | Company Update           | company_api   | company       | 0 | 1 | 1 | 0 | 1         | Update company data
company-delete          | Company Delete           | company_api   | company       | 0 | 0 | 0 | 1 | 1         | Soft delete company
pay-view                | Pay View                 | pay_api       | payroll       | 0 | 1 | 0 | 0 | 1         | Read payroll data
pay-create              | Pay Create               | pay_api       | payroll       | 1 | 0 | 0 | 0 | 1         | Create payroll data
pay-process             | Pay Process              | pay_api       | payroll       | 0 | 1 | 1 | 0 | 1         | Process payroll data
pay-close               | Pay Close                | pay_api       | payroll       | 0 | 1 | 1 | 0 | 1         | Close payroll period
pay-delete              | Pay Delete               | pay_api       | payroll       | 0 | 0 | 0 | 1 | 1         | Delete payroll data
employee-read           | Employee Read            | employee_api  | employee      | 0 | 1 | 0 | 0 | 1         | Read employee data
employee-create         | Employee Create          | employee_api  | employee      | 1 | 0 | 0 | 0 | 1         | Create employee data
employee-update         | Employee Update          | employee_api  | employee      | 0 | 1 | 1 | 0 | 1         | Update employee data
employee-delete         | Employee Delete          | employee_api  | employee      | 0 | 0 | 0 | 1 | 1         | Delete employee record
tax-read                | Tax Read                 | tax_api       | tax           | 0 | 1 | 0 | 0 | 1         | Read tax calculation data
report-read             | Report Read              | report_api    | report        | 0 | 1 | 0 | 0 | 1         | Read report data
employee-self-read      | Employee Self Read       | employee_api  | employee      | 0 | 1 | 0 | 0 | 1         | Read my employee data
employee-self-update    | Employee Self Update     | employee_api  | employee      | 0 | 1 | 1 | 0 | 1         | Update my employee data


ROLE_PERMISSIONS
role_code               | permission_code
------------------------+------------------------
super_admin             | company-read
super_admin             | company-update
super_admin             | company-delete
super_admin             | company-create
super_admin             | pay-view
super_admin             | pay-create
super_admin             | pay-process
super_admin             | pay-close
super_admin             | pay-delete
super_admin             | employee-read
super_admin             | employee-create
super_admin             | employee-update
super_admin             | employee-delete
super_admin             | tax-read
super_admin             | report-read
customer_service_create | company-create
customer_service_create | company-read
customer_service_create | employee-read
customer_service_create | employee-create
customer_service_create | employee-update
customer_service_create | employee-delete
customer_service_create | pay-view
customer_service_create | report-read
customer_service        | company-read
customer_service        | company-update
customer_service        | employee-read
customer_service        | employee-update
payroll_admin           | pay-view
payroll_admin           | pay-create
payroll_admin           | pay-process
payroll_admin           | pay-close
payroll_admin           | report-read
payroll_admin           | employee-create
payroll_admin           | employee-update
payroll_admin           | employee-delete
payroll_admin           | employee-read
employee_self_service   | employee-self-read
employee_self_service   | employee-self-update
